Predicate Group,Ending kana,INF_NONPAST,INF_PAST,INF_NEG_NONPAST,INF_NEG_PAST,FORMAL_NONPAST,FORMAL_PAST,FORMAL_NEG_NONPAST,FORMAL_NEG_PAST,CONDITIONAL,VOLITIONAL,TE,PASSIVE,CAUSATIVE,POTENTIAL,IMPERATIVE,ADVERBIAL,ATTRIBUTIVE
GODAN,う,*う,*った,*わない,*わなかった,*います,*いました,*いません,*いませんでした,*えば,*おう,*って,*われる,*わせる,*える,*え,,
GODAN,く,*く,*いた,*かない,*かなかった,*きます,*きました,*きません,*きませんでした,*けば,*こう,*いて,*かれる,*かせる,*ける,*け,,
GODAN,ぐ,*ぐ,*いだ,*がない,*がなかった,*ぎます,*ぎました,*ぎません,*ぎませんでした,*げば,*ごう,*いで,*がれる,*がせる,*げる,*げ,,
GODAN,す,*す,*した,*さない,*さなかった,*します,*しました,*しません,*しませんでした,*せば,*そう,*して,*される,*させる,*せる,*せ,,
GODAN,つ,*つ,*った,*たない,*たなかった,*ちます,*ちました,*ちません,*ちませんでした,*てば,*とう,*って,*たれる,*たせる,*てる,*て,,
GODAN,ぬ,*ぬ,*んだ,*なない,*ななかった,*にます,*にました,*にません,*にませんでした,*ねば,*のう,*んで,*なれる,*なせる,*ねる,*ね,,
GODAN,ぶ,*ぶ,*んだ,*ばない,*ばなかった,*びます,*びました,*びません,*びませんでした,*べば,*ぼう,*んで,*ばれる,*ばせる,*べる,*べ,,
GODAN,む,*む,*んだ,*まない,*まなかった,*みます,*みました,*みません,*みませんでした,*めば,*もう,*んで,*まれる,*ませる,*める,*め,,
GODAN,る,*る,*った,*らない,*らなかった,*ります,*りました,*りません,*りませんでした,*れば,*ろう,*って,*られる,*らせる,*げる,*れ,,
ARU,る,*る,*った,ない,なかった,*ります,*りました,*りません,*りませんでした,*れば,*ろう,*って,,,,*れ,,
POLITE,る,*る,*った,*らない,*らなかった,*います,*いました,*いません,*いませんでした,*れば,*ろう,*って,*られる,*させる,*られる,*い,,
ICHIDAN,る,*る,*た,*ない,*なかった,*ます,*ました,*ません,*ませんでした,*れば,*よう,*て,*られる,*させる,*れる,*ろ,,
SURU,る,*る,**した,**しない,**しなかった,**します,**しました,**しません,**しませんでした,*れば,**しよう,**して,**される,**させる,**できる,**しろ,,
KURU,る,*る,**きた,**こない,**こなかった,**きます,**きました,**きません,**きませんでした,*れば,**こよう,**きて,**こられる,**こらせる,**こられる,**こい,,
I_ADJECTIVE,い,*い,*くない,*かった,*くなかった,です,*かったです,*くありません;*くないです,*くありませんでした;*くなかったです,*ければ,,*くて,,,,,*く,*い
II_YOI,い,*い,**よくない,**よかった,**よくなかった,です,**よかったです,**よくありません;**よくないです,**よくありませんでした;**よくなかったです,**よければ,,**よくて,,,,,**よく,*い
NA_ADJECTIVE,,だ,ではない;じゃない,だった,ではなかった;じゃなかった,です,でした,ではありません;じゃないです;じゃありません,ではありませんでした;じゃなかったです;じゃありませんでした,なら;ならば;であれば,,で,,,,,に,な
NOUN,,だ,ではない;じゃない,だった,ではなかった;じゃなかった,です,でした,ではありません;じゃないです;じゃありません,ではありませんでした;じゃなかったです;じゃありませんでした,なら;ならば;であれば,,で,,,,,,の;である
