Counter,Reading,Type,Meaning (Singular),Meaning (Plural),Max number,Meaning (1),Meaning (2),Meaning (3),Meaning (4),Meaning (5),Meaning (6),Meaning (7),Meaning (8),Meaning (9),Meaning (10),Irregular reading (1),Irregular reading (2),Irregular reading (3),Irregular reading (4),Irregular reading (5),Irregular reading (6),Irregular reading (7),Irregular reading (8),Irregular reading (9),Irregular reading (10)
つ,つ,IRREGULAR,thing,things,,,,,,,,,,,,ひとつ,ふたつ,みっつ,よっつ,いつつ,むっつ,ななつ,やっつ,ここのつ,とお
枚,まい,A1,thin object,thin objects,,,,,,,,,,,,,,,,,,,,,
本,ほん,B1,long object,long objects,,,,,,,,,,,,,,,,,,,,,
課,か,C1,lesson,lessons,,,,,,,,,,,,,,,,,,,,,
冊,さつ,D1,book,books,,,,,,,,,,,,,,,,,,,,,
頁,ぺーじ,E,page,pages,,,,,,,,,,,,,,,,,,,,,
頭,とう,F,head of cattle,heads of cattle,,,,,,,,,,,,,,,,,,,,,
人,にん,A2,person,people,,,,,,,,,,,,ひとり,ふたり,,,,,,,きゅうにん;くにん,
日,にち,A3,,,,one day; first day (of the month),two days; second day (of the month),three days; third day (of the month),four days; fourth day (of the month),five days; fifth day (of the month),six days; sixth day (of the month),seven days; seventh day (of the month),eight days; eighth day (of the month),nine days; ninth day (of the month),ten days; tenth day (of the month),ついたち;いちにち,ふつか,みっか,よっか,いつか,むいか,なのか,ようか,ここのか,とおか
晩,ばん,A1,night,nights,,,,,,,,,,,,ひとばん,ふたばん,みばん,よばん,,,ななばん,,,
倍,ばい,A1,time (as much),times (as much),,,,,,,,,,,,,,,,,,,,,
番,ばん,A1,,,,number one; first,number two; second,number three; third,number four; fourth,number five; fifth,number six; sixth,number seven; seventh,number eight; eighth,number nine; ninth,number ten; tenth,,,,,,,,,,
度,ど,A1,time (small numbers),time (small numbers),,,,,,,,,,,,,,,,,,,,,
畳,じょう,A1,tatami mat,tatami mats,,,,,,,,,,,,,,,,,,,,,
部,ぶ,A1,part,parts,,,,,,,,,,,,,,,,,,,,,
