Verb,Reading,Verb Group,Meaning
いる,いる,ICHIDAN,"to be (of animate objects), to exist; to stay; to be ...-ing, to have been ...-ing"
要る,いる,GODAN,"to need, to want"
いたす,いたす,GODAN,to do [Humble (kenjougo) language]
なくなる,なくなる,GODAN,"to be lost (e.g. luggage), to be missing; to be used up, to be run out, to be exhausted, to be consumed, to be reduced to zero, to not occur any more; to disappear (e.g. pain), to be lost (e.g. a dream, confidence)"
参る,まいる,GODAN,"to go, to come, to call; to be defeated, to collapse, to die; to be annoyed, to be nonplussed; to be madly in love; to visit (shrine, grave) [Humble (kenjougo) language]"
下さる,くださる,POLITE,"to give, to confer, to bestow; to kindly do for one, to oblige, to favour, to favor [Honorific or respectful (sonkeigo) language]"
もらう,もらう,GODAN,"to receive, to take, to accept; to get someone to do something; to have in one's pocket (a fight, match); to contract (a disease), to catch, to be affected"
いただく,いただく,GODAN,"to receive, to get, to accept, to take, to buy; to eat, to drink; to be crowned with, to wear (on one's head), to have (on top); to have (as one's leader), to live under (a ruler), to install (a president); to get someone to do something [Humble (kenjougo) language]"
つかむ,つかむ,GODAN,"to seize, to catch, to grasp, to grip, to grab, to clutch, to hold, to catch hold of, to lay one's hands on; to obtain, to acquire, to get, to win, to capture; to understand, to grasp, to comprehend"
かかる,かかる,GODAN,"to contract (a disease), to suffer from"
叱る,しかる,GODAN,"to scold, to chide, to rebuke, to reprimand"
つなぐ,つなぐ,GODAN,"to connect, to link together; to tie, to fasten, to restrain; to maintain, to preserve, to keep; to transfer (phone call), to put a person through; to hedge, to buy or sell forward"
被る,こうむる,GODAN,"to put on (one's head), to wear, to have on, to pull over (one's head), to crown (oneself); to be covered with (dust, snow, etc.), to pour (water, etc.) on oneself, to dash on oneself, to ship water; to bear (e.g. someone's debts, faults, etc.), to take (blame), to assume (responsibility), to shoulder (burden); to overlap (e.g. sound or color); to be similar, to be redundant; to be fogged (due to overexposure, etc.); to close, to come to an end; to get a full house, to sell out; to blunder, to bungle, to fail; to be deceived"
括弧する,かっこする,SURU,"brackets, parentheses"
兼ねる,かねる,ICHIDAN,"to be unable to, to find difficult (unpleasant, awkward, painful) to do; to serve two or more functions or roles simultaneously, to contain (or combine) two or more features; to work in two or more jobs simultaneously (positions, etc.), to do alongside; to hesitate to do something (out of consideration for others); to think of the future (as well as the present)"
生る,なる,GODAN,to bear fruit
巡る,めぐる,GODAN,to go around; to return; to surround; to concern (usu. of disputes)
なす,なす,GODAN,"to build up, to establish; to form, to become (a state); to accomplish, to achieve, to succeed in; to change into; to do, to perform; to intend to, to attempt, to try"
つながる,つながる,GODAN,"to be tied together, to be connected to, to be linked to; to lead to, to be related to; to be related (by blood)"
まとめる,まとめる,ICHIDAN,"to collect, to put (it all) together, to integrate, to consolidate, to unify; to summarize, to aggregate; to bring to a conclusion, to finalize, to settle, to put in order; to establish, to decide"
たまる,たまる,GODAN,"to collect, to gather, to save, to accumulate, to pile up"
かく,かく,GODAN,"to scratch; to perspire; to shovel, to paddle"
塞がる,ふさがる,GODAN,"to be closed, to be blocked, to be healed (e.g. wound), to be shut up; to be clogged, to be plugged up; to be occupied, to be taken (e.g. accommodation)"
擦る,する,GODAN,"to rub, to scrub, to scrape"
畳む,たたむ,GODAN,"to fold (clothes, umbrella); to close (a shop, business); to vacate"
よる,よる,GODAN,"to be due to, to be caused by; to depend on, to turn on; to be based on, to come from; to be based at (a location, an organization), to be headquartered at"
