Verb Group,Ending kana,INF_NONPAST,INF_PAST,INF_NEG_NONPAST,INF_NEG_PAST,FORMAL_NONPAST,FORMAL_PAST,FORMAL_NEG_NONPAST,FORMAL_NEG_PAST
GODAN,う,,*った,*わない,*わなかった,*います,*いました,*いません,*いませんでした
GODAN,く,,*いた,*かない,*かなかった,*きます,*きました,*きません,*きませんでした
GODAN,ぐ,,*いだ,*がない,*がなかった,*ぎます,*ぎました,*ぎません,*ぎませんでした
GODAN,す,,*した,*さない,*さなかった,*します,*しました,*しません,*しませんでした
GODAN,つ,,*った,*たない,*たなかった,*ちます,*ちました,*ちません,*ちませんでした
GODAN,ぬ,,*んだ,*なない,*ななかった,*にます,*にました,*にません,*にませんでした
GODAN,ぶ,,*んだ,*ばない,*ばなかった,*びます,*びました,*びません,*びませんでした
GODAN,む,,*んだ,*まない,*まなかった,*みます,*みました,*みません,*みませんでした
GODAN,る,,*った,*らない,*らなかった,*ります,*りました,*りません,*りませんでした
ARU,る,,*った,ない,なかった,*ります,*りました,*りません,*りませんでした
POLITE,る,,*った,*らない,*らなかった,*います,*いました,*いません,*いませんでした
ICHIDAN,る,,*た,*ない,*なかった,*ます,*ました,*ません,*ませんでした
SURU,る,,した,しない,しなかった,します,しました,しません,しませんでした
KURU,る,,きた,こない,こなかった,きます,きました,きません,きませんでした
