Character,Strokes,Grade,English meaning,Readings
一,1,1,one,イチ、イツ、ひと、ひと-つ
右,5,1,right (direction),ウ、ユウ、みぎ
雨,8,1,rain,ウ、あめ、（あま）
円,4,1,round;  yen,エン、まる-い
王,4,1,king,オウ
音,9,1,sound,オン、イン、おと、ね
下,3,1,below,カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる
火,4,1,fire,カ、ひ、（ほ）
花,7,1,flower,カ、はな
貝,7,1,shellfish,かい
学,8,1,study,ガク、まな-ぶ
気,6,1,feeling,キ、ケ
九,2,1,nine,キュウ、ク、ここの、ここの-つ
休,6,1,rest,キュウ、やす-む、やす-まる、やす-める
玉,5,1,ball,ギョク、たま
金,8,1,gold,キン、コン、かね、（かな）
空,8,1,sky,クウ、そら、あ-く、あ-ける、から
月,4,1,month;  moon,ゲツ、ガツ、つき
犬,4,1,dog,ケン、いぬ
見,7,1,see,ケン、み-る、み-える、み-せる
五,4,1,five,ゴ、いつ、いつ-つ
口,3,1,mouth,コウ、ク、くち
校,10,1,school,コウ
左,5,1,left (direction),サ、ひだり
三,3,1,three,サン、み、み-つ、みっ-つ
山,3,1,mountain,サン、やま
子,3,1,child,シ、ス、こ
四,5,1,four,シ、よ、よ-つ、よっ-つ、よん
糸,6,1,thread,シ、いと
字,6,1,letter,ジ、あざ
耳,6,1,ear,ジ、みみ
七,2,1,seven,シチ、なな、なな-つ、（なの）
車,7,1,car,シャ、くるま
手,4,1,hand,シュ、て、（た）
十,2,1,ten,ジュウ、ジッ、とお、と
出,5,1,exit,シュツ、（スイ）、で-る、だ-す
女,3,1,woman,ジョ、ニョ、（ニョウ）、おんな、め
小,3,1,small,ショウ、ちい-さい、こ、お
上,3,1,up,ジョウ、（ショウ）、うえ、（うわ）、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す
森,12,1,forest,シン、もり
人,2,1,person,ジン、ニン、ひと
水,4,1,water,スイ、みず
正,5,1,correct,セイ、ショウ、ただ-しい、ただ-す、まさ
生,5,1,life,セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま
青,8,1,blue,セイ、（ショウ）、あお、あお-い
夕,3,1,evening,セキ、ゆう
石,5,1,stone,セキ、（シャク）、（コク）、いし
赤,7,1,red,セキ、（シャク）、あか、あか-い、あか-らむ、あか-らめる
千,3,1,thousand,セン、ち
川,3,1,river,セン、かわ
先,6,1,previous,セン、さき
早,6,1,early,ソウ、（サッ）、はや-い、はや-まる、はや-める
草,9,1,grass,ソウ、くさ
足,7,1,foot,ソク、あし、た-りる、た-る、た-す
村,7,1,village,ソン、むら
大,3,1,large,ダイ、タイ、おお、おお-きい、おお-いに
男,7,1,male,ダン、ナン、おとこ
竹,6,1,bamboo,チク、たけ
中,4,1,middle,チュウ、（ジュウ）、なか
虫,6,1,insect,チュウ、むし
町,7,1,town,チョウ、まち
天,4,1,heaven,テン、あめ、（あま）
田,5,1,rice paddy,デン、た
土,3,1,soil,ド、ト、つち
二,2,1,two,ニ、ふた、ふた-つ
日,4,1,day,ニチ、ジツ、ひ、か
入,2,1,enter,ニュウ、い-る、い-れる、はい-る
年,6,1,year,ネン、とし
白,5,1,white,ハク、ビャク、しろ、（しら）、しろ-い
八,2,1,eight,ハチ、や、や-つ、やっ-つ、（よう）
百,6,1,hundred,ヒャク
文,4,1,writing,ブン、モン、ふみ
木,4,1,tree,ボク、モク、き、（こ）
本,5,1,book,ホン、もと
名,6,1,name,メイ、ミョウ、な
目,5,1,eye,モク、（ボク）、め、（ま）
立,5,1,stand up,リツ、（リュウ）、た-つ、た-てる
力,2,1,power,リョク、リキ、ちから
林,8,1,woods,リン、はやし
六,4,1,six,ロク、む、む-つ、むっ-つ、（むい）
引,4,2,pull,イン、ひ-く、ひ-ける
羽,6,2,feather,ウ、は、はね
雲,12,2,cloud,ウン、くも
園,13,2,garden,エン、その
遠,13,2,far,エン、（オン）、とお-い
何,7,2,what,カ、なに、（なん）
科,9,2,section,カ
夏,10,2,summer,カ、（ゲ）、なつ
家,10,2,house,カ、ケ、いえ、や
歌,14,2,song,カ、うた、うた-う
画,8,2,tableau,ガ、カク
回,6,2,times,カイ、（エ）、まわ-る、まわ-す
会,6,2,association,カイ、エ、あ-う
海,9,2,sea,カイ、うみ
絵,12,2,picture,カイ、エ
外,5,2,outside,ガイ、ゲ、そと、ほか、はず-す、はず-れる
角,7,2,angle,カク、かど、つの
楽,13,2,pleasure,ガク、ラク、たの-しい、たの-しむ
活,9,2,active,カツ
間,12,2,interval,カン、ケン、あいだ、ま
丸,3,2,circle,ガン、まる、まる-い、まる-める
岩,8,2,boulder,ガン、いわ
顔,18,2,face,ガン、かお
汽,7,2,steam,キ
記,10,2,write down,キ、しる-す
帰,10,2,return,キ、かえ-る、かえ-す
弓,3,2,bow (archery; violin),キュウ、ゆみ
牛,4,2,cow,ギュウ、うし
魚,11,2,fish,ギョ、うお、さかな
京,8,2,capital,キョウ、ケイ
強,11,2,strong,キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる
教,11,2,teach,キョウ、おし-える、おそ-わる
近,7,2,near,キン、ちか-い
兄,5,2,older brother,ケイ、（キョウ）、あに
形,7,2,shape,ケイ、ギョウ、かた、かたち
計,9,2,measure,ケイ、はか-る、はか-らう
元,4,2,origin,ゲン、ガン、もと
言,7,2,say,ゲン、ゴン、い-う、こと
原,10,2,field,ゲン、はら
戸,4,2,door,コ、と
古,5,2,old,コ、ふる-い、ふる-す
午,4,2,noon,ゴ
後,9,2,behind,ゴ、コウ、のち、うし-ろ、あと、おく-れる
語,14,2,language,ゴ、かた-る、かた-らう
工,3,2,craft,コウ、ク
公,4,2,public,コウ、おおやけ
広,5,2,wide,コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる
交,6,2,mix,コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす
光,6,2,ray,コウ、ひか-る、ひかり
